condition,run,seed,step,action,reward,score,info
simple,0,0,1,"('consume', 0)",1,1,{'feedback': 'Step 1: Consumed id 0 (red square plain) for 1 points.'}
simple,0,0,2,"('combine', 1, 2)",0,1,"{'new_object': {'id': 16, 'shape': 'square', 'texture': 'striped', 'color': 'yellow'}}"
simple,0,0,3,"('consume', 16)",10,11,{'feedback': 'Step 3: Consumed id 16 (yellow square striped) for 10 points.'}
simple,0,0,4,"('consume', 3)",1,12,{'feedback': 'Step 4: Consumed id 3 (red square checkered) for 1 points.'}
simple,0,0,5,"('combine', 4, 5)",0,12,"{'new_object': {'id': 18, 'shape': 'circle', 'texture': 'dotted', 'color': 'yellow'}}"
simple,0,0,6,"('consume', 18)",10,22,{'feedback': 'Step 6: Consumed id 18 (yellow circle dotted) for 10 points.'}
simple,0,0,7,"('consume', 6)",1,23,{'feedback': 'Step 7: Consumed id 6 (red circle striped) for 1 points.'}
simple,0,0,8,"('combine', 7, 8)",0,23,{'feedback': 'Step 8: Failed to combine id 7 (red circle checkered) and id 8 (red triangle plain).'}
simple,0,0,9,"('consume', 7)",1,24,{'feedback': 'Step 9: Consumed id 7 (red circle checkered) for 1 points.'}
simple,0,0,10,"('combine', 8, 9)",0,24,"{'new_object': {'id': 21, 'shape': 'triangle', 'texture': 'dotted', 'color': 'yellow'}}"
simple,0,0,11,"('consume', 21)",10,34,{'feedback': 'Step 11: Consumed id 21 (yellow triangle dotted) for 10 points.'}
simple,0,0,12,"('consume', 10)",1,35,{'feedback': 'Step 12: Consumed id 10 (red triangle striped) for 1 points.'}
simple,0,0,13,"('combine', 11, 12)",0,35,{'feedback': 'Step 13: Failed to combine id 11 (red triangle checkered) and id 12 (red diamond plain).'}
simple,0,0,14,"('combine', 11, 12)",0,35,{'feedback': 'Step 14: Failed to combine id 11 (red triangle checkered) and id 12 (red diamond plain).'}
simple,0,0,15,"('combine', 11, 12)",0,35,{'feedback': 'Step 15: Failed to combine id 11 (red triangle checkered) and id 12 (red diamond plain).'}
simple,0,0,16,"('combine', 11, 12)",0,35,{'feedback': 'Step 16: Failed to combine id 11 (red triangle checkered) and id 12 (red diamond plain).'}
simple,0,0,17,"('consume', 11)",1,36,{'feedback': 'Step 17: Consumed id 11 (red triangle checkered) for 1 points.'}
simple,0,0,18,"('combine', 12, 13)",0,36,"{'new_object': {'id': 24, 'shape': 'diamond', 'texture': 'dotted', 'color': 'yellow'}}"
simple,0,0,19,"('consume', 24)",10,46,{'feedback': 'Step 19: Consumed id 24 (yellow diamond dotted) for 10 points.'}
simple,0,0,20,"('combine', 14, 15)",0,46,"{'new_object': {'id': 26, 'shape': 'diamond', 'texture': 'checkered', 'color': 'yellow'}}"
simple,0,0,21,"('consume', 26)",10,56,{'feedback': 'Step 21: Consumed id 26 (yellow diamond checkered) for 10 points.'}
simple,0,0,22,"('consume', 17)",1,57,{'feedback': 'Step 22: Consumed id 17 (red square plain) for 1 points.'}
simple,0,0,23,"('combine', 19, 20)",0,57,{'feedback': 'Step 23: Failed to combine id 19 (red square checkered) and id 20 (red circle striped).'}
simple,0,0,24,"('consume', 19)",1,58,{'feedback': 'Step 24: Consumed id 19 (red square checkered) for 1 points.'}
simple,0,0,25,"('combine', 20, 22)",0,58,"{'new_object': {'id': 27, 'shape': 'circle', 'texture': 'checkered', 'color': 'yellow'}}"
simple,0,0,26,"('consume', 27)",10,68,{'feedback': 'Step 26: Consumed id 27 (yellow circle checkered) for 10 points.'}
simple,0,0,27,"('combine', 23, 25)",0,68,"{'new_object': {'id': 29, 'shape': 'triangle', 'texture': 'checkered', 'color': 'yellow'}}"
simple,0,0,28,"('consume', 29)",10,78,{'feedback': 'Step 28: Consumed id 29 (yellow triangle checkered) for 10 points.'}
simple,0,0,29,"('consume', 26)",1,79,{'feedback': 'Step 29: Consumed id 26 (red square plain) for 1 points.'}
simple,0,0,30,"('consume', 28)",1,80,{'feedback': 'Step 30: Consumed id 28 (red square checkered) for 1 points.'}
simple,0,0,31,"('combine', 11, 12)",0,80,{'feedback': 'Step 31: Failed to combine id 11 (None) and id 12 (None).'}
simple,0,0,32,"('consume', 0)",1,81,{'feedback': 'Step 32: Consumed id 0 (red square plain) for 1 points.'}
simple,0,0,33,"('combine', 11, 12)",0,81,{'feedback': 'Step 33: Failed to combine id 11 (None) and id 12 (None).'}
simple,0,0,34,"('consume', 1)",1,82,{'feedback': 'Step 34: Consumed id 1 (red square checkered) for 1 points.'}
simple,0,0,35,"('consume', 2)",0,82,{'error': 'Step 35: Invalid consume attempt on id 2.'}
simple,0,0,36,"('consume', 2)",0,82,{'error': 'Step 36: Invalid consume attempt on id 2.'}
simple,0,0,37,"('consume', 2)",0,82,{'error': 'Step 37: Invalid consume attempt on id 2.'}
simple,0,0,38,"('consume', 2)",0,82,{'error': 'Step 38: Invalid consume attempt on id 2.'}
simple,0,0,39,"('consume', 2)",0,82,{'error': 'Step 39: Invalid consume attempt on id 2.'}
simple,0,0,40,"('consume', 2)",0,82,{'error': 'Step 40: Invalid consume attempt on id 2.'}
