condition,run,seed,score,api_response,id
simple,0.0,0.0,69,No specific rules detected.,
simple,1.0,0.0,77,"Rule: Combinations are valid if both objects are of the same type, such as all circles.",
simple,0.0,1.0,63,No specific rules detected.,
simple,1.0,1.0,69,No specific rules detected.,
simple,0.0,2.0,71,Rule: Combinations are valid if objects are similar in both shape and color.,
simple,1.0,2.0,73,No specific rules detected.,
simple,0.0,3.0,71,Rule: Combinations are more likely to be successful if objects share the same shape or color.,
simple,1.0,3.0,59,No specific rules detected.,
simple,0.0,4.0,70,Rule: Combinations are valid if both objects are of similar shapes and colors.,
simple,1.0,4.0,70,No specific rules detected.,
medium,0.0,0.0,28,Rule: Combinations are valid if both objects are the same shape and have checkered patterns.,
medium,1.0,0.0,27,No specific rules detected.,
medium,0.0,1.0,28,No specific rules detected.,
medium,1.0,1.0,25,No specific rules detected.,
medium,0.0,2.0,24,No specific rules detected.,
medium,1.0,2.0,30,No specific rules detected.,
medium,0.0,3.0,26,"Rule: Combinations are valid if different shaped items (squares, circles, triangles, diamonds) are paired with each other.",
medium,1.0,3.0,30,No specific rules detected.,
medium,0.0,4.0,30,No specific rules detected.,
medium,1.0,4.0,31,No specific rules detected.,
hard,0.0,0.0,24,No specific rules detected.,
hard,1.0,0.0,28,No specific rules detected.,
hard,0.0,1.0,36,No specific rules detected.,
hard,1.0,1.0,31,No specific rules detected.,
hard,0.0,2.0,31,No specific rules detected.,
hard,1.0,2.0,34,No specific rules detected.,
hard,0.0,3.0,37,No specific rules detected.,
hard,1.0,3.0,27,No specific rules detected.,
hard,0.0,4.0,29,No specific rules detected.,
hard,1.0,4.0,27,No specific rules detected.,
low,,,132,No specific rules detected.,2.0
high,,,100110,Rule: Combinations are valid if both objects are the same shape.,3.0
low,,,31,No specific rules detected.,4.0
high,,,400013,Rule: Combinations are valid if both objects are the same shape.,5.0
medium,,,0,No specific rules detected.,6.0
low,,,0,Rule: Combinations are likely if the objects are Circles and Squares with solid patterns.,7.0
high,,,302002,Rule: Combinations are valid if both objects are the same shape.,8.0
low,,,65,Rule: Combinations of a solid square and solid circle or a solid triangle and solid diamond are valid.,9.0
low,,,30,No specific rules detected.,10.0
medium,,,0,No specific rules detected.,11.0
