step,action,reward,score,info
1,"('consume', 3)",1,1,{}
2,"('combine', 1, 4)",0,1,{'error': 'invalid combine'}
3,"('combine', 1, 4)",0,1,{'error': 'invalid combine'}
4,"('combine', 1, 4)",0,1,{'error': 'invalid combine'}
5,"('combine', 1, 4)",0,1,{'error': 'invalid combine'}
6,"('combine', 1, 4)",0,1,{'error': 'invalid combine'}
7,"('combine', 1, 4)",0,1,{'error': 'invalid combine'}
8,"('combine', 1, 4)",0,1,{'error': 'invalid combine'}
9,"('consume', 1)",1,2,{}
10,"('combine', 4, 5)",0,2,{'error': 'invalid combine'}
11,"('combine', 4, 5)",0,2,{'error': 'invalid combine'}
12,"('combine', 4, 5)",0,2,{'error': 'invalid combine'}
13,"('combine', 4, 5)",0,2,{'error': 'invalid combine'}
14,"('combine', 4, 6)",0,2,"{'new_object': {'id': 18, 'shape': 'circle', 'texture': 'striped', 'color': 'yellow'}}"
15,"('combine', 8, 9)",0,2,{'error': 'invalid combine'}
16,"('combine', 10, 11)",0,2,{'error': 'invalid combine'}
17,"('combine', 12, 13)",0,2,{'error': 'invalid combine'}
18,"('combine', 8, 9)",0,2,{'error': 'invalid combine'}
19,"('combine', 10, 12)",0,2,{'error': 'invalid combine'}
20,"('consume', 18)",10,12,{}
21,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
22,"('combine', 8, 9)",0,12,{'error': 'invalid combine'}
23,"('combine', 10, 12)",0,12,{'error': 'invalid combine'}
24,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
25,"('combine', 12, 13)",0,12,{'error': 'invalid combine'}
26,"('combine', 8, 9)",0,12,{'error': 'invalid combine'}
27,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
28,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
29,"('combine', 12, 13)",0,12,{'error': 'invalid combine'}
30,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
31,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
32,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
33,"('combine', 12, 13)",0,12,{'error': 'invalid combine'}
34,"('combine', 12, 13)",0,12,{'error': 'invalid combine'}
35,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
36,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
37,"('combine', 12, 13)",0,12,{'error': 'invalid combine'}
38,"('combine', 12, 13)",0,12,{'error': 'invalid combine'}
39,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
40,"('combine', 10, 11)",0,12,{'error': 'invalid combine'}
