"","id","action_id","action","held","target","yield","points","token","condition","x","y","currentlyCarrying"
"1",2,1,"combine","diamond_stripes_0","diamond_dots_0","",0,"5TPFUNNT","low",6,4,"diamond_stripes_0"
"2",2,2,"combine","diamond_stripes_0","triangle_stripes_0","diamond_stripes_1",0,"5TPFUNNT","low",11,7,"diamond_stripes_1"
"3",2,3,"combine","diamond_stripes_1","square_stripes_0","",0,"5TPFUNNT","low",14,9,"diamond_stripes_1"
"4",2,4,"combine","diamond_stripes_1","square_checkered_0","",0,"5TPFUNNT","low",14,8,"diamond_stripes_1"
"5",2,5,"combine","diamond_stripes_1","square_stripes_0","",0,"5TPFUNNT","low",14,9,"diamond_stripes_1"
"6",2,6,"combine","diamond_stripes_1","triangle_stripes_0","diamond_stripes_2",0,"5TPFUNNT","low",2,13,"diamond_stripes_2"
"7",2,7,"combine","diamond_stripes_2","circle_plain_0","",0,"5TPFUNNT","low",0,13,"diamond_stripes_2"
"8",2,8,"combine","diamond_stripes_2","square_plain_0","",0,"5TPFUNNT","low",9,8,"diamond_stripes_2"
"9",2,9,"combine","diamond_stripes_2","diamond_checkered_0","",0,"5TPFUNNT","low",4,9,"diamond_stripes_2"
"10",2,10,"combine","diamond_stripes_2","circle_checkered_0","",0,"5TPFUNNT","low",2,8,"diamond_stripes_2"
"11",2,11,"combine","diamond_stripes_2","square_checkered_0","",0,"5TPFUNNT","low",14,8,"diamond_stripes_2"
"12",2,12,"combine","diamond_stripes_2","square_stripes_0","",0,"5TPFUNNT","low",14,9,"diamond_stripes_2"
"13",2,13,"combine","diamond_stripes_2","circle_dots_0","",0,"5TPFUNNT","low",12,11,"diamond_stripes_2"
"14",2,14,"consume","diamond_stripes_2","","",100,"5TPFUNNT","low",13,11,""
"15",2,15,"combine","triangle_dots_0","diamond_plain_0","triangle_plain_1",0,"5TPFUNNT","low",11,12,"triangle_plain_1"
"16",2,16,"combine","triangle_plain_1","circle_dots_0","",0,"5TPFUNNT","low",12,11,"triangle_plain_1"
"17",2,17,"combine","triangle_plain_1","square_dots_0","",0,"5TPFUNNT","low",13,12,"triangle_plain_1"
"18",2,18,"combine","triangle_plain_1","diamond_stripes_0","",0,"5TPFUNNT","low",12,9,"triangle_plain_1"
"19",2,19,"combine","triangle_plain_1","triangle_plain_0","",0,"5TPFUNNT","low",12,8,"triangle_plain_1"
"20",2,20,"combine","triangle_plain_1","square_plain_0","",0,"5TPFUNNT","low",9,8,"triangle_plain_1"
"21",2,21,"combine","triangle_plain_1","diamond_checkered_0","",0,"5TPFUNNT","low",4,9,"triangle_plain_1"
"22",2,22,"consume","triangle_plain_1","","",10,"5TPFUNNT","low",1,8,""
"23",2,23,"combine","diamond_checkered_0","circle_checkered_0","",0,"5TPFUNNT","low",2,8,"diamond_checkered_0"
"24",2,24,"combine","diamond_checkered_0","triangle_checkered_0","diamond_checkered_1",0,"5TPFUNNT","low",6,2,"diamond_checkered_1"
"25",2,25,"consume","diamond_checkered_1","","",10,"5TPFUNNT","low",6,3,""
"26",2,26,"consume","diamond_dots_0","","",1,"5TPFUNNT","low",6,5,""
"27",2,27,"consume","circle_stripes_0","","",1,"5TPFUNNT","low",4,10,""
"28",2,28,"combine","diamond_checkered_0","circle_checkered_0","",0,"5TPFUNNT","low",2,8,"diamond_checkered_0"
"29",2,29,"combine","diamond_checkered_0","circle_checkered_0","",0,"5TPFUNNT","low",2,8,"diamond_checkered_0"
"30",2,30,"combine","diamond_checkered_0","circle_checkered_0","",0,"5TPFUNNT","low",2,8,"diamond_checkered_0"
"31",2,31,"combine","diamond_checkered_0","circle_checkered_0","",0,"5TPFUNNT","low",2,8,"diamond_checkered_0"
"32",2,32,"combine","diamond_checkered_0","triangle_dots_0","",0,"5TPFUNNT","low",0,10,"diamond_checkered_0"
"33",2,33,"combine","diamond_checkered_0","diamond_stripes_0","",0,"5TPFUNNT","low",12,9,"diamond_checkered_0"
"34",2,34,"combine","diamond_checkered_0","square_stripes_0","",0,"5TPFUNNT","low",14,9,"diamond_checkered_0"
"35",2,35,"combine","diamond_checkered_0","circle_dots_0","",0,"5TPFUNNT","low",12,11,"diamond_checkered_0"
"36",2,36,"combine","diamond_checkered_0","square_dots_0","",0,"5TPFUNNT","low",13,12,"diamond_checkered_0"
"37",2,37,"combine","diamond_checkered_0","diamond_plain_0","",0,"5TPFUNNT","low",13,11,"diamond_checkered_0"
"38",2,38,"combine","diamond_checkered_0","circle_dots_0","",0,"5TPFUNNT","low",12,11,"diamond_checkered_0"
"39",2,39,"combine","diamond_checkered_0","diamond_stripes_0","",0,"5TPFUNNT","low",12,9,"diamond_checkered_0"
"40",2,40,"combine","diamond_checkered_0","triangle_plain_0","diamond_plain_1",0,"5TPFUNNT","low",12,8,"diamond_plain_1"
"41",3,1,"combine","square_plain_0","square_stripes_0","square_stripes_1",0,"12ZKUY1V","high",4,3,"square_stripes_1"
"42",3,2,"consume","square_stripes_1","","",10,"12ZKUY1V","high",6,5,""
