id,event_id,timestamp,action,x,y,actionsLeft,currentPoints,currentlyCarrying,token,assignment
9,1,2026-02-23T09:48:12.492Z,moveRight,8,7,40,0,,7W9953DG,test
9,2,2026-02-23T09:48:13.000Z,moveRight,9,7,40,0,,7W9953DG,test
9,3,2026-02-23T09:48:13.030Z,moveRight,10,7,40,0,,7W9953DG,test
9,4,2026-02-23T09:48:13.061Z,moveRight,11,7,40,0,,7W9953DG,test
9,5,2026-02-23T09:48:13.093Z,moveRight,12,7,40,0,,7W9953DG,test
9,6,2026-02-23T09:48:13.124Z,moveRight,13,7,40,0,,7W9953DG,test
9,7,2026-02-23T09:48:13.171Z,moveRight,14,7,40,0,,7W9953DG,test
9,8,2026-02-23T09:48:13.523Z,moveLeft,13,7,40,0,,7W9953DG,test
9,9,2026-02-23T09:48:13.756Z,moveLeft,12,7,40,0,,7W9953DG,test
9,10,2026-02-23T09:48:13.931Z,moveLeft,11,7,40,0,,7W9953DG,test
9,11,2026-02-23T09:48:14.099Z,moveLeft,10,7,40,0,,7W9953DG,test
9,12,2026-02-23T09:48:14.275Z,moveLeft,9,7,40,0,,7W9953DG,test
9,13,2026-02-23T09:48:14.428Z,moveLeft,8,7,40,0,,7W9953DG,test
9,14,2026-02-23T09:48:14.588Z,moveLeft,7,7,40,0,,7W9953DG,test
9,15,2026-02-23T09:48:15.036Z,pickUp,7,7,40,0,circle_plain_0,7W9953DG,test
9,16,2026-02-23T09:48:16.020Z,moveUp,7,6,40,0,circle_plain_0,7W9953DG,test
9,17,2026-02-23T09:48:16.404Z,moveRight,8,6,40,0,circle_plain_0,7W9953DG,test
9,18,2026-02-23T09:48:16.604Z,moveRight,9,6,40,0,circle_plain_0,7W9953DG,test
9,19,2026-02-23T09:48:17.090Z,combine,9,6,39,0,circle_plain_0,7W9953DG,test
9,20,2026-02-23T09:48:18.491Z,moveUp,9,5,39,0,circle_plain_0,7W9953DG,test
9,21,2026-02-23T09:48:18.764Z,moveUp,9,4,39,0,circle_plain_0,7W9953DG,test
9,22,2026-02-23T09:48:18.972Z,moveUp,9,3,39,0,circle_plain_0,7W9953DG,test
9,23,2026-02-23T09:48:19.156Z,moveUp,9,2,39,0,circle_plain_0,7W9953DG,test
9,24,2026-02-23T09:48:19.388Z,moveLeft,8,2,39,0,circle_plain_0,7W9953DG,test
9,25,2026-02-23T09:48:19.572Z,moveLeft,7,2,39,0,circle_plain_0,7W9953DG,test
9,26,2026-02-23T09:48:19.747Z,moveLeft,6,2,39,0,circle_plain_0,7W9953DG,test
9,27,2026-02-23T09:48:20.100Z,combine,6,2,38,0,circle_plain_0,7W9953DG,test
9,28,2026-02-23T09:48:21.884Z,moveUp,6,1,38,0,circle_plain_0,7W9953DG,test
9,29,2026-02-23T09:48:22.148Z,moveLeft,5,1,38,0,circle_plain_0,7W9953DG,test
9,30,2026-02-23T09:48:22.596Z,combine,5,1,37,0,circle_plain_0,7W9953DG,test
9,31,2026-02-23T09:48:23.123Z,moveLeft,4,1,37,0,circle_plain_0,7W9953DG,test
9,32,2026-02-23T09:48:23.340Z,moveLeft,3,1,37,0,circle_plain_0,7W9953DG,test
9,33,2026-02-23T09:48:23.548Z,moveLeft,2,1,37,0,circle_plain_0,7W9953DG,test
