id,condition,messageHow,messageRules,total_points
51,hard-3,I tried to recreate the same combinations,similar seemed to make a higher score,110
52,hard-3,its all a bit random but circles seem to do better,a did not spot much at all,58
53,hard-3,Striped triangle and striped diamond make an orange striped triangle,Both shapes had the same pattern,26
54,hard-3,watch the gains on the right side panel and work from them,I was acting too quickly to really notice. ,0
55,hard-3,was just picking randomly,didnt notice any pattern,0
56,hard-3,"Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.",Diamonds and triangles go together. Circles and squares go together,110301
57,hard-3,I matched the fuse together priortizing the high values first.,Fusing the only identical shapes,26
58,hard-3,"Ensure to notice each crystals combination that generates points in previous periods of picking up crystals, fusing and harvesting which would assist in earning more energy points eventually. However, every points is worth it throughout the overall moves.","There are each crystal that matches the other which assisted me in picking a present crystal, fuse and harvest crystals for energy points. hence, I used my previous pattern to guauge on present which in turns assisted me in combining the perfect crystals for energy points earnings",92
59,hard-3,Take a look around the board first to ensure you know where each gem is before starting. ,I didn't find a pattern that was easy ,21
60,hard-3,I can't really suggest any tips or strategies as I didn't really understand the game,"You have to harvested crystals
move spaces by using arrow keys
pick up crystals using spacebar
to fuse crystals hold a crystal on top of another and press spacebar
To harvest crystals press spacebar. This means you can earn energy points
To drop crystals press D",1
