"","id","condition","messageHow","messageRules","total_points","age","sex","engagement","difficulty","feedback","date","time","duration"
"1",251,"low-3","I tried to recreate the same combinations","similar seemed to make a higher score",110,42,"male",7,7,"none","2026_03_03","11_29_45",234132
"2",252,"low-3","its all a bit random but circles seem to do better","a did not spot much at all",58,53,"male",7,8,"no","2026_03_03","11_33_05",399270
"3",253,"low-3","Striped triangle and striped diamond make an orange striped triangle","Both shapes had the same pattern",26,48,"female",10,9,"No comments","2026_03_03","11_33_45",473518
"4",254,"low-3","watch the gains on the right side panel and work from them","I was acting too quickly to really notice. ",0,52,"male",5,0,"none","2026_03_03","11_34_09",493954
"5",255,"low-3","was just picking randomly","didnt notice any pattern",0,31,"male",10,8,"no","2026_03_03","11_35_33",575288
"6",256,"low-3","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","Diamonds and triangles go together. Circles and squares go together",110301,32,"female",10,7,"No","2026_03_03","11_44_33",1128881
"7",257,"low-3","I matched the fuse together priortizing the high values first.","Fusing the only identical shapes",26,29,"female",10,10,"No","2026_03_03","11_45_50",1194780
"8",258,"low-3","Ensure to notice each crystals combination that generates points in previous periods of picking up crystals, fusing and harvesting which would assist in earning more energy points eventually. However, every points is worth it throughout the overall moves.","There are each crystal that matches the other which assisted me in picking a present crystal, fuse and harvest crystals for energy points. hence, I used my previous pattern to guauge on present which in turns assisted me in combining the perfect crystals for energy points earnings",92,33,"noresponse",9,4,"Its an interesting study","2026_03_03","12_07_49",2449485
"9",259,"low-3","Take a look around the board first to ensure you know where each gem is before starting. ","I didn't find a pattern that was easy ",21,29,"female",5,9,"No comment. ","2026_03_03","12_26_10",354281
"10",260,"low-3","I can't really suggest any tips or strategies as I didn't really understand the game","You have to harvested crystals
move spaces by using arrow keys
pick up crystals using spacebar
to fuse crystals hold a crystal on top of another and press spacebar
To harvest crystals press spacebar. This means you can earn energy points
To drop crystals press D",1,48,"male",8,10,"I think that I read the instructions well and paid attention however I didnt understand what I was suppose to do and if I was playing the game correctly","2026_03_03","12_27_20",823780
