condition,seed,action,log_cum_rewards,highest_levels,epi_probs,recover_rate
simple,0,0,-18.420680743952367,0.0,0.13333333333333333,0.7333333333333333
simple,0,1,-18.420680743952367,0.0,0.13333333333333333,0.6666666666666666
simple,0,2,-18.420680743952367,0.0,0.05,0.75
simple,0,3,-18.420680743952367,1.0,0.2,1.0
simple,0,4,-18.420680743952367,2.0,0.2,1.0
simple,0,5,-18.420680743952367,2.0,0.25,0.65
simple,0,6,-18.420680743952367,3.0,0.2,1.0
simple,0,7,-18.420680743952367,4.0,0.2,1.0
simple,0,8,-18.420680743952367,5.0,0.2,1.0
simple,0,9,11.512925464970328,5.0,0.11666666666666667,0.7833333333333333
simple,0,10,11.512925464970328,5.0,0.2,1.0
simple,0,11,11.512925464970328,5.0,0.2,1.0
simple,0,12,11.512925464970328,5.0,0.2,1.0
simple,0,13,11.512925464970328,5.0,0.03333333333333333,0.8333333333333334
simple,0,14,11.512925464970328,5.0,0.2,1.0
simple,0,15,12.206072645530224,5.0,0.2,1.0
simple,0,16,12.206072645530224,5.0,0.2,1.0
simple,0,17,12.206072645530224,5.0,0.2,1.0
simple,0,18,12.206072645530224,5.0,0.2,1.0
simple,0,19,12.206072645530224,5.0,0.2,1.0
simple,0,20,12.206072645530224,5.0,0.2,1.0
simple,0,21,12.611537753638371,5.0,0.2,1.0
simple,0,22,12.611537753638371,5.0,0.2,1.0
simple,0,23,12.611571086416161,5.0,0.2,1.0
simple,0,24,12.611571086416161,5.0,0.2,1.0
simple,0,25,12.611604418082914,5.0,0.2,1.0
simple,0,26,12.611604418082914,5.0,0.2,1.0
simple,0,27,12.611637748638705,5.0,0.2,1.0
simple,0,28,12.611637748638705,5.0,0.2,1.0
simple,0,29,12.611637748638705,5.0,0.2,1.0
simple,0,30,12.611637748638705,5.0,0.2,1.0
simple,0,31,12.611637748638705,5.0,0.2,1.0
simple,0,32,12.611637748638705,5.0,0.2,1.0
simple,0,33,12.899294823277785,5.0,0.2,1.0
simple,0,34,12.899297323087174,5.0,0.2,1.0
simple,0,35,12.899299822890315,5.0,0.2,1.0
simple,0,36,12.899299822890315,5.0,0.2,1.0
simple,0,37,12.899299822890315,5.0,0.2,1.0
simple,0,38,12.899299822890315,5.0,0.2,1.0
simple,0,39,12.899299822890315,5.0,0.2,1.0
simple,1,0,-18.420680743952367,0.0,0.25,0.65
simple,1,1,9.999999889225291e-09,0.0,0.0,0.8
simple,1,2,9.999999889225291e-09,0.0,0.06666666666666667,0.7666666666666667
simple,1,3,0.6931471855599453,0.0,0.0,0.8
simple,1,4,0.6931471855599453,0.0,0.1,0.7
simple,1,5,0.6931471855599453,1.0,0.2,1.0
simple,1,6,2.4849066506213338,1.0,0.05,0.85
simple,1,7,2.4849066506213338,1.0,0.0125,0.8125
simple,1,8,2.4849066506213338,2.0,0.2,1.0
simple,1,9,2.4849066506213338,2.0,0.31666666666666665,0.6166666666666667
simple,1,10,4.71849887138438,2.0,0.05,0.85
simple,1,11,4.71849887138438,2.0,0.03333333333333333,0.7666666666666667
simple,1,12,4.71849887138438,2.0,0.05,0.75
simple,1,13,4.71849887138438,2.0,0.06666666666666667,0.7666666666666667
simple,1,14,4.71849887138438,2.0,0.2,1.0
simple,1,15,4.71849887138438,2.0,0.2,1.0
simple,1,16,4.71849887138438,3.0,0.2,1.0
simple,1,17,7.0139154748195205,3.0,0.2,1.0
simple,1,18,7.0139154748195205,3.0,0.05,0.85
simple,1,19,7.0139154748195205,3.0,0.2,1.0
simple,1,20,7.0139154748195205,3.0,0.2,1.0
simple,1,21,7.0139154748195205,4.0,0.2,1.0
simple,1,22,7.0139154748195205,5.0,0.2,1.0
simple,1,23,11.52398409232706,5.0,0.2,1.0
simple,1,24,11.52398409232706,5.0,0.2,1.0
simple,1,25,11.52398409232706,5.0,0.2,1.0
simple,1,26,11.52398409232706,5.0,0.2,1.0
simple,1,27,11.52398409232706,5.0,0.2,1.0
simple,1,28,11.52398409232706,5.0,0.2,1.0
simple,1,29,12.211617245785574,5.0,0.2,1.0
simple,1,30,12.211617245785574,5.0,0.2,1.0
simple,1,31,12.211617245785574,5.0,0.2,1.0
simple,1,32,12.211617245785574,5.0,0.2,1.0
simple,1,33,12.211617245785574,5.0,0.2,1.0
simple,1,34,12.260144077317948,5.0,0.2,1.0
simple,1,35,12.26014881412889,5.0,0.2,1.0
simple,1,36,12.260153550917396,5.0,0.2,1.0
simple,1,37,12.260158287683463,5.0,0.2,1.0
simple,1,38,12.260163024427094,5.0,0.2,1.0
simple,1,39,12.260163024427094,5.0,0.2,1.0
simple,2,0,-18.420680743952367,0.0,0.25,0.65
simple,2,1,-18.420680743952367,0.0,0.06666666666666667,0.7333333333333333
simple,2,2,-18.420680743952367,0.0,0.05,0.75
simple,2,3,-18.420680743952367,1.0,0.05,0.85
simple,2,4,-18.420680743952367,1.0,0.13333333333333333,0.6666666666666666
simple,2,5,-18.420680743952367,2.0,0.3,0.6
simple,2,6,4.605170186088091,2.0,0.03333333333333333,0.7833333333333333
simple,2,7,4.615120516940269,2.0,0.0,0.8
simple,2,8,4.615120516940269,2.0,0.03333333333333333,0.7833333333333333
simple,2,9,4.615120516940269,2.0,0.25,0.65
simple,2,10,4.7095302014024245,2.0,0.05,0.85
simple,2,11,4.7095302014024245,2.0,0.06666666666666667,0.7666666666666667
simple,2,12,4.7957905456793855,2.0,0.004166666666666667,0.8041666666666667
simple,2,13,4.7957905456793855,2.0,0.2,1.0
simple,2,14,4.7957905456793855,2.0,0.2,1.0
simple,2,15,4.7957905456793855,3.0,0.2,1.0
simple,2,16,4.7957905456793855,4.0,0.2,1.0
simple,2,17,4.7957905456793855,4.0,0.35,0.65
simple,2,18,4.7957905456793855,5.0,0.25,0.75
simple,2,19,11.514134733510312,5.0,0.2,1.0
simple,2,20,11.514134733510312,5.0,0.2,1.0
simple,2,21,11.514134733510312,5.0,0.2,1.0
simple,2,22,11.514134733510312,5.0,0.2,1.0
simple,2,23,11.514134733510312,5.0,0.2,1.0
simple,2,24,11.514134733510312,5.0,0.2,1.0
simple,2,25,12.206677462591506,5.0,0.2,1.0
simple,2,26,12.206677462591506,5.0,0.2,1.0
simple,2,27,12.206677462591506,5.0,0.2,1.0
simple,2,28,12.206677462591506,5.0,0.2,1.0
simple,2,29,12.206677462591506,5.0,0.2,1.0
simple,2,30,12.255438834241849,5.0,0.2,1.0
simple,2,31,12.255438834241849,5.0,0.2,1.0
simple,2,32,12.255438834241849,5.0,0.2,1.0
simple,2,33,12.255438834241849,5.0,0.2,1.0
simple,2,34,12.255438834241849,5.0,0.2,1.0
simple,2,35,12.255438834241849,5.0,0.2,1.0
simple,2,36,12.644717822885964,5.0,0.2,1.0
simple,2,37,12.644721047428604,5.0,0.2,1.0
simple,2,38,12.644721047428604,5.0,0.2,1.0
simple,2,39,12.644721047428604,5.0,0.2,1.0
simple,3,0,-18.420680743952367,1.0,0.05,0.85
simple,3,1,-18.420680743952367,2.0,0.2,1.0
simple,3,2,-18.420680743952367,3.0,0.2,1.0
simple,3,3,-18.420680743952367,4.0,0.43333333333333335,0.5666666666666667
simple,3,4,-18.420680743952367,5.0,0.2,1.0
simple,3,5,11.512925464970328,5.0,0.2,1.0
simple,3,6,11.512925464970328,5.0,0.2,1.0
simple,3,7,11.513025459970661,5.0,0.3,0.7
simple,3,8,11.513025459970661,5.0,0.2,1.0
simple,3,9,11.513025459970661,5.0,0.2,1.0
simple,3,10,11.513025459970661,5.0,0.2,1.0
simple,3,11,11.513025459970661,5.0,0.8,0.4
simple,3,12,11.513025459970661,5.0,0.2,1.0
simple,3,13,11.513025459970661,5.0,0.2,1.0
simple,3,14,12.206122644280265,5.0,0.2,1.0
simple,3,15,12.206122644280265,5.0,0.2,1.0
simple,3,16,12.206172640530557,5.0,0.2,1.0
simple,3,17,12.206172640530557,5.0,0.2,1.0
simple,3,18,12.206172640530557,5.0,0.2,1.0
simple,3,19,12.206172640530557,5.0,0.2,1.0
simple,3,20,12.206172640530557,5.0,0.2,1.0
simple,3,21,12.254958043260032,5.0,0.2,1.0
simple,3,22,12.254958043260032,5.0,0.2,1.0
simple,3,23,12.254958043260032,5.0,0.2,1.0
simple,3,24,12.254958043260032,5.0,0.2,1.0
simple,3,25,12.254958043260032,5.0,0.2,1.0
simple,3,26,12.254958043260032,5.0,0.2,1.0
simple,3,27,12.644392090509317,5.0,0.2,1.0
simple,3,28,12.644392090509317,5.0,0.2,1.0
simple,3,29,12.64442434597259,5.0,0.2,1.0
simple,3,30,12.644427571461694,5.0,0.2,1.0
simple,3,31,12.644430796940396,5.0,0.2,1.0
simple,3,32,12.644434022408694,5.0,0.2,1.0
simple,3,33,12.644434022408694,5.0,0.2,1.0
simple,3,34,12.644434022408694,5.0,0.2,1.0
simple,3,35,12.644434022408694,5.0,0.2,1.0
simple,3,36,12.644434022408694,5.0,0.2,1.0
simple,3,37,12.644434022408694,5.0,0.2,1.0
simple,3,38,12.644434022408694,5.0,0.2,1.0
simple,3,39,12.644434022408694,5.0,0.2,1.0
simple,4,0,-18.420680743952367,0.0,0.041666666666666664,0.775
simple,4,1,-18.420680743952367,0.0,0.2,0.6
simple,4,2,-18.420680743952367,0.0,0.06666666666666667,0.7666666666666667
simple,4,3,-18.420680743952367,0.0,0.11666666666666667,0.7833333333333333
simple,4,4,-18.420680743952367,1.0,0.2,1.0
simple,4,5,-18.420680743952367,2.0,0.2,1.0
simple,4,6,-18.420680743952367,3.0,0.2,1.0
simple,4,7,6.907755278992137,3.0,0.13333333333333333,0.7333333333333333
simple,4,8,6.907755278992137,3.0,0.2,0.7
simple,4,9,6.907755278992137,3.0,0.2,1.0
simple,4,10,6.907755278992137,3.0,0.03333333333333333,0.8333333333333334
simple,4,11,7.003065458795553,3.0,0.13333333333333333,0.7333333333333333
simple,4,12,7.003065458795553,3.0,0.13333333333333333,0.7333333333333333
simple,4,13,7.003065458795553,3.0,0.06666666666666667,0.8666666666666667
simple,4,14,7.012115294315389,3.0,0.03333333333333333,0.7833333333333333
simple,4,15,7.012115294315389,3.0,0.06666666666666667,0.7333333333333333
simple,4,16,7.012115294315389,3.0,0.05,0.775
simple,4,17,7.012115294315389,3.0,0.2,1.0
simple,4,18,7.012115294315389,3.0,0.05,0.775
simple,4,19,7.012115294315389,3.0,0.2,0.6
simple,4,20,7.012115294315389,3.0,0.25,0.65
simple,4,21,7.012115294315389,3.0,0.06666666666666667,0.8666666666666667
simple,4,22,7.098375638599051,3.0,0.05,0.85
simple,4,23,7.098375638599051,3.0,0.016666666666666666,0.8166666666666667
simple,4,24,7.098375638599051,3.0,0.2,1.0
simple,4,25,7.098375638599051,3.0,0.2,1.0
simple,4,26,7.098375638599051,4.0,0.2,1.0
simple,4,27,9.324561516067098,4.0,0.2,1.0
simple,4,28,9.324561516067098,4.0,0.2,1.0
simple,4,29,9.324561516067098,4.0,0.2,1.0
simple,4,30,9.324561516067098,4.0,0.2,1.0
simple,4,31,9.324561516067098,4.0,0.2,1.0
simple,4,32,9.324561516067098,5.0,0.2,1.0
simple,4,33,11.619175584812977,5.0,0.1,0.9
simple,4,34,11.619175584812977,5.0,0.2,1.0
simple,4,35,11.619175584812977,5.0,0.2,1.0
simple,4,36,11.620074380487361,5.0,0.2,1.0
simple,4,37,11.620074380487361,5.0,0.2,1.0
simple,4,38,11.620074380487361,5.0,0.2,1.0
simple,4,39,11.620972369053453,5.0,0.2,1.0
simple,5,0,-18.420680743952367,1.0,0.2,1.0
simple,5,1,-18.420680743952367,1.0,0.31666666666666665,0.6166666666666667
simple,5,2,2.302585093994046,1.0,0.05,0.75
simple,5,3,2.302585093994046,1.0,0.03333333333333333,0.7833333333333333
simple,5,4,2.302585093994046,1.0,0.10833333333333334,0.7333333333333333
simple,5,5,2.302585093994046,2.0,0.25,0.65
simple,5,6,2.302585093994046,3.0,0.2,0.7
simple,5,7,2.302585093994046,4.0,0.2,1.0
simple,5,8,2.302585093994046,5.0,0.2,1.0
simple,5,9,11.513025459970661,5.0,0.2,1.0
simple,5,10,11.513025459970661,5.0,0.2,1.0
simple,5,11,11.513025459970661,5.0,0.2,1.0
simple,5,12,11.513025459970661,5.0,0.2,1.0
simple,5,13,11.513025459970661,5.0,0.2,1.0
simple,5,14,11.513025459970661,5.0,0.2,1.0
simple,5,15,12.206122644280265,5.0,0.2,1.0
simple,5,16,12.206122644280265,5.0,0.2,1.0
simple,5,17,12.206122644280265,5.0,0.2,1.0
simple,5,18,12.206122644280265,5.0,0.2,1.0
simple,5,19,12.206122644280265,5.0,0.2,1.0
simple,5,20,12.206122644280265,5.0,0.2,1.0
simple,5,21,12.611571086416161,5.0,0.2,1.0
simple,5,22,12.611571086416161,5.0,0.2,1.0
simple,5,23,12.611571086416161,5.0,0.2,1.0
simple,5,24,12.611571086416161,5.0,0.2,1.0
simple,5,25,12.611571086416161,5.0,0.2,1.0
simple,5,26,12.611571086416161,5.0,0.2,1.0
simple,5,27,12.899244825777648,5.0,0.2,1.0
simple,5,28,12.899244825777648,5.0,0.2,1.0
simple,5,29,12.899269824840186,5.0,0.2,1.0
simple,5,30,12.899269824840186,5.0,0.2,1.0
simple,5,31,12.899294823277785,5.0,0.2,1.0
simple,5,32,12.899297323087174,5.0,0.2,1.0
simple,5,33,12.899299822890315,5.0,0.2,1.0
simple,5,34,12.899299822890315,5.0,0.2,1.0
