string,log_prob,count
diffshape(d),-2.4849066497881176,8385
difftexture(d),-2.4849066497881176,8359
sameshape(d),-2.4849066497881163,8249
sametexture(d),-2.4849066497881163,8228
"fand(diffshape(d),sametexture(d))",-3.8712010109077144,2115
"fand(diffshape(d),difftexture(d))",-3.871201010907716,2101
"fand(sameshape(d),difftexture(d))",-3.871201010907717,2095
"fand(sameshape(d),sametexture(d))",-3.871201010907724,2029
"istexture(obj_2(d),fcheckered())",-5.257495372027745,555
"isshape(obj_2(d),ftriangle())",-5.257495372027745,555
"isshape(obj_1(d),fcircle())",-5.257495372027745,548
"istexture(obj_1(d),fstripes())",-5.257495372027745,541
"isshape(obj_2(d),fcircle())",-5.2574953720277495,525
"istexture(obj_2(d),fstripes())",-5.2574953720277495,523
"istexture(obj_1(d),fplain())",-5.2574953720277495,521
"isshape(obj_1(d),ftriangle())",-5.2574953720277495,521
"isshape(obj_2(d),fdiamond())",-5.2574953720277495,520
"isshape(obj_2(d),fsquare())",-5.2574953720277495,520
"isshape(obj_1(d),fsquare())",-5.2574953720277495,513
"istexture(obj_1(d),fdots())",-5.2574953720277495,510
"istexture(obj_2(d),fdots())",-5.2574953720277495,509
"istexture(obj_2(d),fplain())",-5.2574953720277495,508
"isshape(obj_1(d),fdiamond())",-5.2574953720277495,500
"istexture(obj_1(d),fcheckered())",-5.25749537202775,494
"fand(isshape(obj_1(d),fcircle()),sametexture(d))",-6.6437897331476625,169
"fand(isshape(obj_1(d),fsquare()),isshape(obj_2(d),fsquare()))",-6.64378973314766,164
"fand(sameshape(d),istexture(obj_1(d),fplain()))",-6.643789733147655,155
"pairtexture(d,fplain(),fdots())",-6.643789733147655,155
"pairshape(d,fdiamond(),fsquare())",-6.643789733147655,155
"fand(isshape(obj_2(d),fdiamond()),sametexture(d))",-6.643789733147655,154
"fand(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fstripes()))",-6.643789733147655,151
"pairshape(d,fsquare(),ftriangle())",-6.643789733147655,149
"pairtexture(d,fstripes(),fstripes())",-6.643789733147655,148
"fand(isshape(obj_2(d),fcircle()),sametexture(d))",-6.643789733147655,148
"pairshape(d,fcircle(),ftriangle())",-6.643789733147656,146
"pairshape(d,fcircle(),fsquare())",-6.643789733147656,145
"fand(isshape(obj_2(d),ftriangle()),difftexture(d))",-6.643789733147656,145
"fand(sameshape(d),istexture(obj_2(d),fplain()))",-6.643789733147656,144
"fand(diffshape(d),istexture(obj_1(d),fdots()))",-6.643789733147656,144
"fand(isshape(obj_1(d),fdiamond()),isshape(obj_2(d),fsquare()))",-6.643789733147656,143
"pairtexture(d,fplain(),fcheckered())",-6.643789733147656,142
"fand(isshape(obj_2(d),fsquare()),sametexture(d))",-6.643789733147656,142
"pairtexture(d,fdots(),fcheckered())",-6.643789733147656,142
"fand(isshape(obj_1(d),ftriangle()),sametexture(d))",-6.643789733147657,141
"pairtexture(d,fplain(),fplain())",-6.643789733147657,140
"fand(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),fcircle()))",-6.643789733147657,140
"fand(istexture(obj_1(d),fdots()),istexture(obj_2(d),fdots()))",-6.643789733147657,139
"fand(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),fsquare()))",-6.643789733147657,139
"fand(diffshape(d),istexture(obj_1(d),fstripes()))",-6.643789733147657,139
"fand(sameshape(d),istexture(obj_1(d),fcheckered()))",-6.643789733147657,138
"fand(isshape(obj_1(d),fsquare()),isshape(obj_2(d),ftriangle()))",-6.643789733147657,138
"fand(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fplain()))",-6.643789733147657,138
"fand(isshape(obj_1(d),fcircle()),difftexture(d))",-6.643789733147658,137
"fand(isshape(obj_1(d),ftriangle()),isshape(obj_2(d),ftriangle()))",-6.643789733147658,137
"fand(isshape(obj_1(d),fcircle()),isshape(obj_2(d),fcircle()))",-6.643789733147658,137
"fand(diffshape(d),istexture(obj_1(d),fcheckered()))",-6.643789733147658,136
"pairshape(d,fdiamond(),fcircle())",-6.643789733147658,135
"pairshape(d,fsquare(),fdiamond())",-6.643789733147658,135
"pairtexture(d,fstripes(),fdots())",-6.643789733147658,134
"pairshape(d,ftriangle(),ftriangle())",-6.643789733147658,134
"pairshape(d,fdiamond(),ftriangle())",-6.643789733147658,134
"pairshape(d,fsquare(),fcircle())",-6.643789733147658,134
"fand(isshape(obj_1(d),fdiamond()),sametexture(d))",-6.643789733147659,133
"pairshape(d,fsquare(),fsquare())",-6.643789733147659,132
"fand(istexture(obj_1(d),fstripes()),istexture(obj_2(d),fcheckered()))",-6.643789733147659,131
"pairtexture(d,fstripes(),fplain())",-6.643789733147659,131
"fand(isshape(obj_2(d),fcircle()),difftexture(d))",-6.643789733147659,130
"pairtexture(d,fcheckered(),fstripes())",-6.64378973314766,129
"fand(diffshape(d),istexture(obj_2(d),fstripes()))",-6.64378973314766,129
