condition,action,log_cum_rewards_mean,highest_levels_mean,epi_probs_mean,recover_rate_mean,n,log_cum_rewards_ci_lo,log_cum_rewards_ci_hi,highest_levels_ci_lo,highest_levels_ci_hi,epi_probs_ci_lo,epi_probs_ci_hi,recover_rate_ci_lo,recover_rate_ci_hi
hard,0,1.6666666482042153e-10,0.15,0.29881944444444447,0.6209027777777777,60,-1.5999999822760454e-10,4.933333278684476e-10,0.05888599058396997,0.24111400941603,0.22994456196565666,0.3676943269232323,0.583735285304778,0.6580702702507774
hard,1,0.03837641839990077,0.4166666666666667,0.26243055555555556,0.6474305555555555,60,-0.03684136133170133,0.11359419813150287,0.24054577427104615,0.5927875590622872,0.2022915186618645,0.3225695924492466,0.6160637197051052,0.6787973914060058
hard,2,0.15350567323460307,0.7166666666666667,0.26590277777777777,0.646875,60,-0.02811853127667474,0.3351298777458809,0.45689520401915734,0.976438129314176,0.2124762859731642,0.31932926958239133,0.6193061992798354,0.6744438007201645
hard,3,0.2702234312311956,1.0,0.21,0.6822222222222222,60,0.027280341662081098,0.51316652080031,0.6909734620943639,1.309026537905636,0.1619786221164414,0.2580213778835586,0.6560643408216981,0.7083801036227463
hard,4,0.7307404507003381,1.2833333333333334,0.17083333333333334,0.7077777777777778,60,0.29472629878052164,1.1667546026201545,0.9252100497390465,1.6414566169276203,0.12128655662450213,0.22038011004216454,0.6817986975528643,0.7337568580026914
hard,5,1.2680103062691168,1.5333333333333334,0.16819444444444445,0.7043055555555555,60,0.65699025435582,1.8790303581824137,1.1259478798359355,1.9407187868307314,0.1257605464081712,0.2106283424807177,0.6793054592071327,0.7293056519039783
hard,6,3.0112837465005944,1.6833333333333333,0.17534722222222224,0.7185416666666666,60,2.0461482406271108,3.976419252374078,1.27588129001009,2.090785376656577,0.12410233175200806,0.2265921126924364,0.6879377134468028,0.7491456198865305
hard,7,3.134611372878857,1.9,0.18222222222222223,0.7179166666666668,60,2.181976484679332,4.087246261078382,1.5027749360722193,2.2972250639277805,0.1298735543016217,0.23457089014282276,0.6861326314468826,0.7497007018864509
hard,8,3.7466584790407595,2.1166666666666667,0.14319444444444446,0.73125,60,2.808319903485061,4.684997054596458,1.7238600577417837,2.5094732755915494,0.10032456768420689,0.18606432120468203,0.7054901078856075,0.7570098921143924
hard,9,4.257532122815615,2.2333333333333334,0.1326388888888889,0.7465277777777778,60,3.3361139977529444,5.178950247878285,1.8397677215579546,2.626898945108712,0.09502312257763196,0.17025465520014582,0.7253513371444948,0.7677042184110607
hard,10,4.826688593175418,2.35,0.12763888888888889,0.7543055555555556,60,3.9186794729710717,5.734697713379765,1.95517262586387,2.74482737413613,0.09717466569768918,0.1581031120800886,0.7358371386613562,0.7727739724497549
hard,11,5.060556283249071,2.433333333333333,0.12604166666666666,0.746875,60,4.152709266964394,5.968403299533748,2.0342911278806017,2.8323755387860645,0.09790065643668439,0.15418267689664894,0.7300131273305266,0.7637368726694733
hard,12,5.5433703245491,2.5166666666666666,0.11222222222222222,0.7641666666666667,60,4.66080825228666,6.42593239681154,2.117284667613619,2.916048665719714,0.08883655523620634,0.1356078892082381,0.7461054533563766,0.7822278799769568
hard,13,5.780023739315936,2.6,0.10354166666666667,0.7568750000000001,60,4.8963909351300074,6.663656543501865,2.1986979384145053,3.001302061585495,0.07959873066620854,0.1274846026671248,0.7255822908737493,0.7881677091262509
hard,14,5.846200016378964,2.6,0.1001388888888889,0.7434722222222222,60,4.913279066314954,6.7791209664429735,2.204143266228404,2.9958567337715962,0.07910097958565691,0.12117679819212089,0.7044207422905937,0.7825237021538507
hard,15,5.756114783987738,2.6166666666666667,0.0925,0.75375,60,4.846520020350179,6.665709547625297,2.229424828722193,3.0039085046111405,0.07348687397928148,0.11151312602071851,0.7147553292267633,0.7927446707732367
