string,log_prob,count
True,-2.4849066497873924,16532
sameshape(d),-2.4849066497881176,8328
sametexture(d),-2.4849066497881163,8258
fnot(True),-3.8712010109080555,4161
fnot(sameshape(d)),-3.871201010907716,2104
fnot(sametexture(d)),-3.8712010109077224,2045
"isshape(obj_2(d),ftriangle())",-4.564348191467719,1114
"istexture(obj_2(d),fcheckered())",-4.56434819146772,1107
"istexture(obj_1(d),fdots())",-4.564348191467721,1098
"isshape(obj_1(d),fcircle())",-4.564348191467722,1081
fnot(fnot(True)),-5.257495372027742,1071
"isshape(obj_1(d),ftriangle())",-4.564348191467725,1063
"istexture(obj_1(d),fplain())",-4.564348191467725,1062
"istexture(obj_2(d),fdots())",-4.564348191467726,1057
"isshape(obj_1(d),fdiamond())",-4.564348191467727,1050
"isshape(obj_2(d),fdiamond())",-4.564348191467727,1048
"isshape(obj_1(d),fsquare())",-4.564348191467727,1046
"istexture(obj_1(d),fcheckered())",-4.564348191467728,1044
"istexture(obj_2(d),fstripes())",-4.564348191467728,1041
"isshape(obj_2(d),fsquare())",-4.56434819146773,1023
"istexture(obj_2(d),fplain())",-4.56434819146773,1023
"istexture(obj_1(d),fstripes())",-4.564348191467735,984
"isshape(obj_2(d),fcircle())",-4.564348191467736,980
"fand(True,True)",-6.356107660695776,682
fnot(fnot(sameshape(d))),-5.2574953720277495,513
fnot(fnot(sametexture(d))),-5.2574953720277495,505
"fand(True,sametexture(d))",-6.356107660695864,378
"fand(sametexture(d),True)",-6.356107660695873,361
"fand(sameshape(d),True)",-6.356107660695878,352
"fand(True,sameshape(d))",-6.356107660695891,333
"fnot(isshape(obj_1(d),fcircle()))",-5.95064255258769,288
"fnot(isshape(obj_2(d),fdiamond()))",-5.95064255258769,286
"fnot(istexture(obj_2(d),fplain()))",-5.9506425525876905,285
"fnot(istexture(obj_2(d),fdots()))",-5.9506425525876905,284
"fnot(isshape(obj_2(d),fsquare()))",-5.950642552587695,270
"fnot(istexture(obj_1(d),fcheckered()))",-5.950642552587695,269
fnot(fnot(fnot(True))),-6.643789733147692,268
"fnot(isshape(obj_2(d),fcircle()))",-5.950642552587696,267
"fnot(isshape(obj_2(d),ftriangle()))",-5.950642552587696,265
"fnot(isshape(obj_1(d),ftriangle()))",-5.950642552587696,265
"fnot(isshape(obj_1(d),fsquare()))",-5.950642552587696,264
"fnot(isshape(obj_1(d),fdiamond()))",-5.950642552587697,263
"fnot(istexture(obj_2(d),fstripes()))",-5.9506425525876985,257
"fnot(istexture(obj_1(d),fplain()))",-5.9506425525876985,256
"fnot(istexture(obj_1(d),fstripes()))",-5.950642552587702,244
"fnot(istexture(obj_2(d),fcheckered()))",-5.950642552587706,234
"fnot(istexture(obj_1(d),fdots()))",-5.950642552587706,233
"fand(sameshape(d),sametexture(d))",-6.356107660695897,212
"fand(sametexture(d),sametexture(d))",-6.356107660695897,189
"fnot(fand(True,True))",-7.74240202181576,181
"fand(sametexture(d),sameshape(d))",-6.356107660695897,171
"fand(sameshape(d),sameshape(d))",-6.356107660695896,170
"fand(True,fnot(True))",-7.742402021815765,169
"fand(fnot(True),True)",-7.742402021815775,153
fnot(fnot(fnot(sametexture(d)))),-6.643789733147657,141
fnot(fnot(fnot(sameshape(d)))),-6.64378973314766,127
"fand(fnot(True),sametexture(d))",-7.742402021815789,100
"fand(True,fnot(sametexture(d)))",-7.742402021815789,94
"fand(sametexture(d),fnot(True))",-7.742402021815789,93
"fnot(fand(True,sameshape(d)))",-7.742402021815789,93
"fand(sameshape(d),fnot(True))",-7.742402021815789,89
"fnot(fand(sameshape(d),True))",-7.742402021815789,87
"fand(fnot(True),sameshape(d))",-7.742402021815789,86
"fnot(fnot(istexture(obj_1(d),fstripes())))",-7.3369369137076275,83
"fand(fnot(sameshape(d)),True)",-7.742402021815789,80
"fand(True,fnot(sameshape(d)))",-7.742402021815789,79
"fnot(fnot(istexture(obj_2(d),fcheckered())))",-7.3369369137076275,77
"fnot(fand(sametexture(d),True))",-7.742402021815789,77
"fnot(fand(True,sametexture(d)))",-7.742402021815789,76
"fnot(fnot(isshape(obj_2(d),fdiamond())))",-7.3369369137076275,74
"fand(fnot(sametexture(d)),True)",-7.7424020218157885,73
"fnot(fnot(isshape(obj_1(d),fdiamond())))",-7.3369369137076275,72
"fnot(fnot(isshape(obj_2(d),fcircle())))",-7.3369369137076275,71
"fnot(fnot(isshape(obj_1(d),fcircle())))",-7.3369369137076275,70
"fnot(fnot(isshape(obj_1(d),ftriangle())))",-7.3369369137076275,69
fnot(fnot(fnot(fnot(True)))),-8.030084094267565,69
"fnot(fnot(isshape(obj_2(d),ftriangle())))",-7.3369369137076275,68
"fnot(fnot(isshape(obj_1(d),fsquare())))",-7.3369369137076275,68
"fnot(fnot(istexture(obj_1(d),fplain())))",-7.3369369137076275,68
"fnot(fnot(istexture(obj_2(d),fstripes())))",-7.3369369137076275,66
"fnot(fnot(istexture(obj_1(d),fcheckered())))",-7.3369369137076275,66
"fnot(fnot(istexture(obj_2(d),fdots())))",-7.3369369137076275,66
"fnot(fnot(isshape(obj_2(d),fsquare())))",-7.3369369137076275,65
"fnot(fnot(istexture(obj_2(d),fplain())))",-7.3369369137076275,61
"fand(True,istexture(obj_1(d),fdots()))",-8.435549202375732,61
"fand(istexture(obj_2(d),fstripes()),True)",-8.435549202375734,57
"fand(True,fnot(fnot(True)))",-9.128696382935681,57
"fnot(fnot(istexture(obj_1(d),fdots())))",-7.336936913707627,55
"fand(isshape(obj_1(d),fcircle()),True)",-8.435549202375734,55
"fand(istexture(obj_1(d),fstripes()),True)",-8.435549202375734,54
"fand(istexture(obj_2(d),fcheckered()),True)",-8.435549202375734,53
"fand(sameshape(d),fnot(sameshape(d)))",-7.742402021815788,52
"fand(True,isshape(obj_1(d),fdiamond()))",-8.435549202375734,52
"fand(True,istexture(obj_2(d),fdots()))",-8.435549202375734,52
"fand(True,istexture(obj_2(d),fstripes()))",-8.435549202375734,51
"fnot(fand(sameshape(d),sameshape(d)))",-7.742402021815788,50
"fand(istexture(obj_1(d),fdots()),True)",-8.435549202375734,49
"fand(istexture(obj_2(d),fplain()),True)",-8.435549202375734,49
"fand(istexture(obj_2(d),fdots()),True)",-8.435549202375734,49
"fand(isshape(obj_1(d),fdiamond()),True)",-8.435549202375734,48
"fand(True,isshape(obj_1(d),ftriangle()))",-8.435549202375734,47
"fand(sametexture(d),fnot(sametexture(d)))",-7.742402021815787,46
"fand(True,isshape(obj_2(d),ftriangle()))",-8.435549202375734,46
"fand(True,istexture(obj_1(d),fplain()))",-8.435549202375734,46
"fand(isshape(obj_1(d),fsquare()),True)",-8.435549202375734,45
"fnot(fnot(fand(True,True)))",-9.128696382935681,45
"fand(sameshape(d),fnot(sametexture(d)))",-7.742402021815787,44
"fand(True,isshape(obj_1(d),fsquare()))",-8.435549202375734,44
"fand(isshape(obj_1(d),ftriangle()),True)",-8.435549202375734,44
"fand(True,isshape(obj_2(d),fcircle()))",-8.435549202375734,43
"fand(istexture(obj_1(d),fplain()),True)",-8.435549202375734,43
"fnot(fand(sameshape(d),sametexture(d)))",-7.742402021815787,42
"fnot(fand(sametexture(d),sametexture(d)))",-7.742402021815787,41
"fand(fnot(sameshape(d)),sametexture(d))",-7.742402021815787,41
"fand(True,isshape(obj_2(d),fsquare()))",-8.435549202375734,41
"fand(True,istexture(obj_2(d),fcheckered()))",-8.435549202375734,41
"fnot(fand(sametexture(d),sameshape(d)))",-7.742402021815787,40
"fand(True,istexture(obj_2(d),fplain()))",-8.435549202375734,40
"fand(istexture(obj_1(d),fcheckered()),True)",-8.435549202375734,40
"fand(fnot(fnot(True)),True)",-9.128696382935681,40
"fand(True,isshape(obj_1(d),fcircle()))",-8.435549202375734,39
"fand(isshape(obj_2(d),fcircle()),True)",-8.435549202375734,39
"fand(isshape(obj_2(d),ftriangle()),True)",-8.435549202375734,39
"fand(fnot(sameshape(d)),sameshape(d))",-7.742402021815786,38
"fand(sametexture(d),fnot(sameshape(d)))",-7.742402021815786,37
fnot(fnot(fnot(fnot(sameshape(d))))),-8.030084094267563,37
"fnot(fand(fnot(True),True))",-9.128696382935681,37
"fand(fnot(sametexture(d)),sametexture(d))",-7.742402021815786,36
"fand(True,istexture(obj_1(d),fcheckered()))",-8.435549202375732,36
"fnot(fand(True,fnot(True)))",-9.12869638293568,36
"fand(fnot(sametexture(d)),sameshape(d))",-7.742402021815785,34
"fnot(fand(sametexture(d),fnot(True)))",-9.128696382935678,34
"fand(isshape(obj_2(d),fsquare()),True)",-8.435549202375729,33
"fand(sameshape(d),fnot(fnot(True)))",-9.128696382935678,33
"fnot(fnot(fand(sametexture(d),True)))",-9.128696382935678,33
"fand(fand(True,True),True)",-10.227308671603788,33
fnot(fnot(fnot(fnot(sametexture(d))))),-8.030084094267561,32
"fand(sametexture(d),isshape(obj_1(d),fsquare()))",-8.435549202375729,32
"fand(fnot(True),fnot(True))",-9.128696382935678,32
"fand(sameshape(d),isshape(obj_2(d),ftriangle()))",-8.435549202375729,31
"fand(True,istexture(obj_1(d),fstripes()))",-8.435549202375729,31
"fand(sametexture(d),istexture(obj_2(d),fdots()))",-8.435549202375729,31
"fand(istexture(obj_1(d),fstripes()),sametexture(d))",-8.435549202375729,30
"fand(sameshape(d),istexture(obj_2(d),fdots()))",-8.435549202375729,30
"fand(sameshape(d),isshape(obj_2(d),fsquare()))",-8.435549202375729,30
"fnot(fand(True,fnot(sametexture(d))))",-9.128696382935678,30
"fnot(fand(sameshape(d),fnot(True)))",-9.128696382935678,30
"fand(istexture(obj_1(d),fplain()),sametexture(d))",-8.435549202375729,29
"fand(True,isshape(obj_2(d),fdiamond()))",-8.435549202375729,29
"fand(sameshape(d),istexture(obj_1(d),fstripes()))",-8.435549202375729,28
"fand(istexture(obj_1(d),fcheckered()),sameshape(d))",-8.435549202375729,28
"fand(isshape(obj_2(d),fdiamond()),True)",-8.435549202375729,28
"fand(fnot(fnot(True)),sameshape(d))",-9.128696382935676,28
"fand(True,fand(True,True))",-10.227308671603788,28
"fand(sametexture(d),isshape(obj_1(d),ftriangle()))",-8.435549202375729,27
"fand(sameshape(d),isshape(obj_1(d),fcircle()))",-8.435549202375729,26
"fand(istexture(obj_1(d),fcheckered()),sametexture(d))",-8.435549202375729,26
"fand(istexture(obj_1(d),fplain()),sameshape(d))",-8.435549202375729,26
"fand(isshape(obj_1(d),fsquare()),sametexture(d))",-8.435549202375729,26
"fand(isshape(obj_2(d),ftriangle()),sameshape(d))",-8.435549202375729,25
"fand(sametexture(d),isshape(obj_2(d),fcircle()))",-8.435549202375729,25
"fand(sametexture(d),isshape(obj_2(d),ftriangle()))",-8.435549202375729,25
"fand(istexture(obj_1(d),fstripes()),sameshape(d))",-8.435549202375729,25
"fand(sameshape(d),isshape(obj_1(d),ftriangle()))",-8.435549202375729,25
"fand(fnot(fnot(sameshape(d))),True)",-9.128696382935676,25
"fnot(fand(fnot(True),sametexture(d)))",-9.128696382935676,25
"fand(True,fnot(fnot(sameshape(d))))",-9.128696382935676,25
"fand(sameshape(d),istexture(obj_1(d),fplain()))",-8.435549202375729,24
"fand(isshape(obj_1(d),fdiamond()),sameshape(d))",-8.435549202375729,24
"fand(isshape(obj_2(d),fdiamond()),sametexture(d))",-8.435549202375729,24
"fand(isshape(obj_2(d),ftriangle()),sametexture(d))",-8.435549202375729,24
"fand(istexture(obj_2(d),fdots()),sameshape(d))",-8.435549202375729,24
"fand(sametexture(d),isshape(obj_1(d),fcircle()))",-8.435549202375729,23
"fand(isshape(obj_2(d),fsquare()),sameshape(d))",-8.435549202375729,23
"fand(isshape(obj_2(d),fcircle()),sameshape(d))",-8.435549202375729,23
"fand(sametexture(d),isshape(obj_2(d),fdiamond()))",-8.435549202375729,23
"fand(fnot(fnot(sametexture(d))),True)",-9.128696382935676,23
"fand(sametexture(d),fnot(fnot(True)))",-9.128696382935676,23
"fand(fnot(sameshape(d)),fnot(True))",-9.128696382935676,23
"fand(True,fnot(fnot(sametexture(d))))",-9.128696382935676,23
"fnot(fand(fnot(sametexture(d)),True))",-9.128696382935676,23
"fand(istexture(obj_2(d),fstripes()),fnot(True))",-9.821843563495614,23
"fand(sametexture(d),istexture(obj_1(d),fplain()))",-8.435549202375729,22
"fand(sametexture(d),istexture(obj_1(d),fdots()))",-8.435549202375729,22
"fnot(fnot(fand(True,sameshape(d))))",-9.128696382935676,22
"fnot(fand(fnot(True),sameshape(d)))",-9.128696382935676,22
"fand(fnot(True),fnot(sametexture(d)))",-9.128696382935676,22
"fand(fnot(sametexture(d)),fnot(True))",-9.128696382935676,22
"fand(sametexture(d),istexture(obj_2(d),fstripes()))",-8.435549202375729,21
"fand(isshape(obj_1(d),ftriangle()),sameshape(d))",-8.435549202375729,21
"fand(isshape(obj_2(d),fcircle()),sametexture(d))",-8.435549202375729,21
"fand(istexture(obj_2(d),fdots()),sametexture(d))",-8.435549202375729,21
"fand(istexture(obj_2(d),fstripes()),sameshape(d))",-8.435549202375729,21
"fand(isshape(obj_1(d),fsquare()),sameshape(d))",-8.435549202375729,21
"fand(sametexture(d),isshape(obj_1(d),fdiamond()))",-8.435549202375729,21
"fand(sameshape(d),isshape(obj_1(d),fdiamond()))",-8.435549202375729,21
"fand(fnot(fnot(True)),sametexture(d))",-9.128696382935676,21
"fand(fand(sametexture(d),True),True)",-10.227308671603788,21
"fand(isshape(obj_2(d),fdiamond()),sameshape(d))",-8.435549202375729,20
"fand(istexture(obj_2(d),fstripes()),sametexture(d))",-8.435549202375729,20
"fand(sametexture(d),istexture(obj_2(d),fcheckered()))",-8.435549202375729,20
"fand(sameshape(d),istexture(obj_2(d),fcheckered()))",-8.435549202375729,20
"fand(isshape(obj_1(d),fcircle()),sameshape(d))",-8.435549202375729,20
"fnot(fnot(fnot(isshape(obj_1(d),fcircle()))))",-8.723231274827507,20
"fnot(fand(fnot(sameshape(d)),True))",-9.128696382935676,20
"fand(isshape(obj_1(d),ftriangle()),fnot(True))",-9.821843563495614,20
"fand(sametexture(d),istexture(obj_1(d),fstripes()))",-8.435549202375729,19
"fand(sameshape(d),isshape(obj_2(d),fcircle()))",-8.435549202375729,19
"fand(istexture(obj_1(d),fdots()),sameshape(d))",-8.435549202375729,19
"fand(sameshape(d),istexture(obj_2(d),fplain()))",-8.435549202375729,19
"fand(sameshape(d),istexture(obj_2(d),fstripes()))",-8.435549202375729,19
"fand(istexture(obj_2(d),fcheckered()),sametexture(d))",-8.435549202375729,19
"fnot(fnot(fand(sameshape(d),True)))",-9.128696382935674,19
fnot(fnot(fnot(fnot(fnot(True))))),-9.416378455387449,19
"fand(fnot(istexture(obj_2(d),fcheckered())),True)",-9.821843563495614,19
"fand(fand(True,sametexture(d)),True)",-10.227308671603788,19
"fand(istexture(obj_2(d),fplain()),sametexture(d))",-8.435549202375729,18
"fand(isshape(obj_1(d),ftriangle()),sametexture(d))",-8.435549202375729,18
"fand(sametexture(d),istexture(obj_2(d),fplain()))",-8.435549202375729,18
"fand(istexture(obj_1(d),fdots()),sametexture(d))",-8.435549202375729,18
"fand(isshape(obj_1(d),fdiamond()),sametexture(d))",-8.435549202375729,18
"fnot(fnot(fnot(istexture(obj_2(d),fstripes()))))",-8.723231274827507,18
"fnot(fnot(fnot(istexture(obj_2(d),fplain()))))",-8.723231274827507,18
"fand(fnot(isshape(obj_1(d),fdiamond())),True)",-9.821843563495614,18
"fand(sameshape(d),isshape(obj_2(d),fdiamond()))",-8.435549202375727,17
"fnot(fnot(fnot(istexture(obj_1(d),fplain()))))",-8.723231274827508,17
"fnot(fnot(fnot(istexture(obj_1(d),fcheckered()))))",-8.723231274827508,17
"fand(sametexture(d),fnot(fnot(sametexture(d))))",-9.128696382935672,17
"fand(isshape(obj_2(d),ftriangle()),fnot(True))",-9.821843563495616,17
"fand(fnot(True),isshape(obj_2(d),fdiamond()))",-9.821843563495616,17
"fand(True,fand(sameshape(d),True))",-10.227308671603785,17
"fand(sameshape(d),fand(True,True))",-10.227308671603785,17
"fand(sametexture(d),istexture(obj_1(d),fcheckered()))",-8.435549202375727,16
