id	condition	messageHow	isRuleLike	messageRules	isEnv	messageFiltered	total_points
3	easy	Try to get the purple crystals as getting higher tier crystals is exponentially better	0	Merge with the same shape	0	Merge with the same shape	100110
5	easy	just continue too pair up the red shapes with the ones you create too make purple	0	start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes 	0	start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes 	400013
8	easy	You have to put together the same kind of shapes	1	triangles go with triangles, square with squarer, ecc	0	You have to put together the same kind of shapes. triangles go with triangles, square with squarer, ecc	302002
16	easy	Pay close attention to which crystal combinations work Remember that successful fusion creates a crystal worth 10x the original value	0	Crystals with similar shapes or geometric patterns seem more likely to fuse successfully	0	Crystals with similar shapes or geometric patterns seem more likely to fuse successfully	1
18	easy	you should be observant on the arrows	0	collect the items by using space	1		108
19	easy	Match the same shapes first	1	match patterns that are similar first.	0	match patterns that are similar first.	112
30	easy	Match same shapes	0	Try to match or fuse the same shapes. for example: Tringle with Triangle	0	Try to match or fuse the same shapes. for example: Tringle with Triangle	1
32	easy	Long space adds extra points	0	Long spacing	1		1133
38	easy	Same shape fuses and increases the harvest Ensure you drop high value harvest to free the space hover	0	Same shape fused and increased harvest	0	Same shape fused and increased harvest	300000
39	easy	You will need to focus more, dont rush into finishing	0	when collecting, combining, and harvesting crystals make sure you pay attension inorder to get the correct patterns	1		110000
40	easy	pay attention to pieces in your hand beforr merging	0	blue circle plus red equals purple circle	0	blue circle plus red equals purple circle	100000
43	easy	Combine forms: no mattern + a pattern = leads to a orange symbol   As soon as youas holding an orange symbol (by picking one symbol with no pattern, and the same symbol with one pattern), pick a third symbol with squared-pattern, this will lead to a yellow. 	0	Same format: 1. Pattern + Non-pattern = Orange  2. Orange + Squared-pattern = yellow	0	Same format: 1. Pattern + Non-pattern = Orange  2. Orange + Squared-pattern = yellow	382
44	easy	start with the same shapes	1	I have not noticed a pattern accept selecting the same shapes to morph	0	I have not noticed a pattern accept selecting the same shapes to morph	300031
47	easy	Gems of the same shape merge to make new gems.  Colour and pattern doesn't seem to matter.	1	Merging gems of the same shape produced new gems.  Attempting to merge gems of differing shapes failed every time in my trials.	0	Merging gems of the same shape produced new gems.  Attempting to merge gems of differing shapes failed every time in my trials.	400031
51	easy	the higher energy crystals have to fuse with crystals that have higher energy than them	0	the rule is that if the crystal has lower energy it can fuse with a crystal that has an energy that is higher than theirs	0	the rule is that if the crystal has lower energy it can fuse with a crystal that has an energy that is higher than theirs	0
54	easy	trying to move as quickly as possible is the trick to get more points	0	mostly the same shapes were combining as compared to different shapes	0	mostly the same shapes were combining as compared to different shapes	11000
